model_name,threshold,roc_auc,pr_auc,accuracy,recall,precision,true_negatives,false_positives,false_negatives,true_positives
hist_gradient_boosting,0.5,0.778753299228472,0.5566953891626418,0.8178333333333333,0.36397889977392617,0.6598360655737705,4424,249,844,483
random_forest_balanced,0.5,0.7779377143077382,0.5565461229440578,0.758,0.6209495101733233,0.4647490129723632,3724,949,503,824
logistic_regression_balanced,0.5,0.7706997710556773,0.5287725190819138,0.7351666666666666,0.624717407686511,0.4317708333333333,3582,1091,498,829
